Average of latency,Column Labels,,,
Row Labels,1,2,3,Grand Total
16450065239,,78.90095847,,78.90095847
16450065240,,78.79816514,,78.79816514
16450065241,,78.44984802,,78.44984802
16450065242,,79.51257862,,79.51257862
16450065243,,79.64242424,,79.64242424
16450065244,,78.49221184,,78.49221184
16450065245,,79.65644172,,79.65644172
16450065246,,79.79761905,,79.79761905
16450065247,,79.38461538,,79.38461538
16450065248,,77.03374233,,77.03374233
16450065249,,81.83018868,,81.83018868
16450065250,,78.46704871,,78.46704871
16450065251,,83.1122449,,83.1122449
16450065252,,78.62769231,,78.62769231
16450065253,,78.29467085,,78.29467085
16450065254,,77.64615385,,77.64615385
16450065255,,78.65963855,,78.65963855
16450065256,,80.68488746,,80.68488746
16450065257,,79.87460815,,79.87460815
16450065258,,79.63221884,,79.63221884
16450065259,,78.76875,,78.76875
16450065260,,78.83987915,,78.83987915
16450065261,,77.690625,,77.690625
16450065262,,83.67781155,,83.67781155
16450065263,,78.72523962,,78.72523962
16450065264,,76.07476636,,76.07476636
16450065265,,79.95705521,,79.95705521
16450065266,,78.06624606,,78.06624606
16450065267,,107.7522124,,107.7522124
16450065268,,69.60126582,,69.60126582
16450065269,,71.14984709,,71.14984709
16450065270,,71.0668693,,71.0668693
16450065271,,74.50943396,,74.50943396
16450065272,,78.778125,,78.778125
16450065273,,78.88130564,,78.88130564
16450065274,,79.12903226,,79.12903226
16450065275,,80.514377,,80.514377
16450065276,,78.72861357,,78.72861357
16450065277,,79.17230769,,79.17230769
16450065278,,79.40866873,,79.40866873
16450065279,,78.48307692,,78.48307692
16450065280,,78.496875,,78.496875
16450065281,,80.08841463,,80.08841463
16450065282,,79.8566879,,79.8566879
16450065283,,79.66153846,,79.66153846
16450065284,,79.17868339,,79.17868339
16450065285,,76.89361702,,76.89361702
16450065286,,80.68529412,,80.68529412
16450065287,,79.5,,79.5
16450065288,,78.95583596,,78.95583596
16450065289,,78.84097859,,78.84097859
16450065290,,78.609375,,78.609375
16450065291,,79.00931677,,79.00931677
16450065292,,78.96696697,,78.96696697
16450065293,,81.00647249,,81.00647249
16450065294,,78.23076923,,78.23076923
16450065295,,79.97468354,,79.97468354
16450065296,,77.63975155,,77.63975155
16450065297,,77.27743902,,77.27743902
16450065298,,85.40189873,,85.40189873
16450065299,,78.19303797,,78.19303797
16450065300,,77.90963855,,77.90963855
16450065301,,78.36335404,,78.36335404
16450065302,,79.89164087,,79.89164087
16450065303,,78.64615385,,78.64615385
16450065304,,79.55384615,,79.55384615
16450065305,,78.38343558,,78.38343558
16450065306,,80.69908815,,80.69908815
16450065307,,78.503125,,78.503125
16450065308,,79.42345277,,79.42345277
16450065309,,78.81120944,,78.81120944
16450065310,,79.72615385,,79.72615385
16450065311,,79.19935691,,79.19935691
16450065312,,78.0733945,,78.0733945
16450065313,,79.90184049,,79.90184049
16450065314,,79.75766871,,79.75766871
16450065315,,78.37003058,,78.37003058
16450065316,,79.21630094,,79.21630094
16450065317,,78.76282051,,78.76282051
16450065318,,78.71554252,,78.71554252
16450065319,,79.33544304,,79.33544304
16450065320,,78.91793313,,78.91793313
16450065321,,79.45631068,,79.45631068
16450065322,,77.32424242,,77.32424242
16450065323,,85.00311526,,85.00311526
16450065324,,77.06422018,,77.06422018
16450065325,,78.60443038,,78.60443038
16450065326,,79.04672897,,79.04672897
16450065327,,78.96296296,,78.96296296
16450065328,,79.46302251,,79.46302251
16450065329,,77.48297214,,77.48297214
16450065330,,78.47058824,,78.47058824
16450065331,,79.34650456,,79.34650456
16450065332,,77.99693252,,77.99693252
16450065333,,79.44859813,,79.44859813
16450065334,,78.10638298,,78.10638298
16450065335,,76.68888889,,76.68888889
16450065336,,79.20408163,,79.20408163
16450065337,,83.45779221,,83.45779221
16450065338,,79.16770186,,79.16770186
16450065339,,77.24382716,,77.24382716
16450065340,,80.65030675,,80.65030675
16450065341,,78.62658228,,78.62658228
16450065342,,97.5,,97.5
16450065343,,75.27164179,,75.27164179
16450065344,,73.77846154,,73.77846154
16450065345,,74.32218845,,74.32218845
16450065346,,92.09063444,,92.09063444
16450065347,,73.49185668,,73.49185668
16450065348,,75.00294118,,75.00294118
16450065349,,73.1086262,,73.1086262
16450065350,,75.42990654,,75.42990654
16450065351,,79.49541284,,79.49541284
16450065352,,79.01197605,,79.01197605
